Type,Response,Actual Max,Actual Min
Barchart,0.6,0.6868300017951374,0.4671658632472606
Barchart,0.4,0.8906740708153527,0.6958313446515145
Barchart,0.65,0.6597556369095157,0.48826392661259455
Barchart,0.75,0.9270435194781554,0.8949299771322343
Barchart,0.8,0.5508925241643547,0.40012221796905445
Barchart,0.35,0.7725606069973836,0.0616128246679728
Barchart,0.15,0.8884754496942304,0.40272339761552867
Barchart,0.8,0.4193323735576113,0.18237828280092838
Barchart,0.9,0.7885966822536838,0.7347278312000942
Barchart,0.1,0.9079742433068263,0.11143927790698394
Barchart,0.1,0.9431401163460553,0.3573955144310548
Barchart,0.1,0.937382652777847,0.31666444927810256
Barchart,0.25,0.7562087353112081,0.1302083657031723
Piechart,.8,0.3305972443635692,0.2514569693235327
Piechart,.25,0.6262251741934242,0.17702287489751956
Piechart,.1,0.41113857469660897,0.06888679661047115
Piechart,.8,0.3849200825780912,0.3001989925929269
Piechart,.5,0.36713943216131506,0.20636556197994693
Piechart,.05,0.4792408540492248,0.03442153170399531
Piechart,.9,0.8585762897367468,0.001869483215444001
Piechart,.8,0.4552996781260914,0.32069766071390293
Piechart,.15,0.8911859278956036,0.11109449891119727
Piechart,.5,0.957071537750176,0.49863777640953577
Piechart,.1,0.7359592316595498,0.10532732555421354
Piechart,.85,0.977112036439914,0.853400504909031
Piechart,.99,0.11892249850323333,0.11528881920005074
Piechart,.20,0.4404091950607596,0.09780295358320057
Piechart,.10,0.4191200554241301,0.09763489704482264
Piechart,.2,0.4815010156187103,0.13701415699855057
Piechart,.5,0.6347629693550285,0.26446158434095457
Piechart,.33,0.535337909709426,0.2245451315869571
Piechart,.5,0.6627697334935283,0.4328365695469145
Piechart,.5,0.8509811562894527,0.50442682740815
Boxplot,.5,0.7238576250697959,0.46895573209206876
Boxplot,.8,0.5885023480211697,0.5607789105832841
Boxplot,.7,0.7479490439521175,0.6462374948907459
Boxplot,.8,0.9079580220417889,0.7367304229119078
Boxplot,.5,0.8680169554473387,0.6326939174819597
Boxplot,.5,0.7634713104525446,0.4833807066241158
Boxplot,.6,0.9794478972999454,0.649321318132513
Boxplot,.33,0.7400385286496185,0.30702931434541614
Boxplot,.5,0.9003950693923313,0.5218668030999496
Boxplot,.5,0.9603449711582419,0.46455801250030593
Boxplot,.5,0.7692099620205912,0.4445547467226991
Boxplot,.95,0.9525587541665843,0.9173099302999144
Boxplot,.9,0.9208705825968184,0.8473350648999056
Boxplot,.85,0.70369113711677,0.6328666264781959
Boxplot,.99,0.657177334767463,0.6293492842613735
Boxplot,.5,0.8371261190097725,0.498796634157777
Boxplot,.66,0.7556069910003946,0.4001055087848444
Boxplot,.75,0.8946566373472882,0.7638807921884647
Boxplot,.70,0.6415247394067827,0.4795274761930963
