type,true,predicted,logError,user
Grayscale,26,25,-0.19264507794239588,u4
Grayscale,57,66,3.189824558880017,u4
Plain,50,50,0.0,u4
Grayscale,32,40,3.0223678130284544,u4
Grayscale,48,50,1.0874628412503393,u4
Grayscale,95,95,0.0,u4
Grayscale,29,33,2.0443941193584534,u4
Plain,81,80,-0.19264507794239588,u4
Grayscale,26,33,2.8328900141647417,u4
Plain,36,40,2.0443941193584534,u4
Plain,33,33,0.0,u4
Plain,1,2,0.16992500144231237,u4
Grayscale,2,4,1.0874628412503393,u4
Plain,22,15,2.7813597135246595,u4
Grayscale,66,70,2.0443941193584534,u4
Plain,15,10,2.2854022188622483,u4
Grayscale,16,15,-0.19264507794239588,u5
Plain,90,95,2.357552004618084,u5
Colored,98,99,0.16992500144231237,u5
Plain,65,75,3.3398500028846247,u5
Grayscale,90,90,0.0,u5
Colored,80,85,2.357552004618084,u5
Plain,80,85,2.357552004618084,u5
Grayscale,47,50,1.6438561897747248,u5
Colored,21,25,2.0443941193584534,u5
Grayscale,62,66,2.0443941193584534,u5
Plain,56,55,-0.19264507794239588,u5
Plain,46,50,2.0443941193584534,u5
Colored,53,50,1.5235619560570128,u5
Plain,64,60,1.9541963103868751,u5
Plain,64,75,3.4757334309663976,u5
Plain,45,50,2.357552004618084,u5
Grayscale,14,15,0.16992500144231237,u5
Colored,38,45,2.8328900141647417,u5
Colored,65,70,2.357552004618084,u5
Grayscale,94,95,0.16992500144231237,u5
Plain,51,55,2.0443941193584534,u5
Colored,39,45,2.6147098441152083,u5
Plain,37,50,3.7142455176661224,u5
Grayscale,47,50,1.6438561897747248,u5
Plain,24,20,1.9541963103868751,u5
Plain,34,40,2.6147098441152083,u5
Colored,46,50,2.0443941193584534,u5
Colored,5,5,0.0,u5
Grayscale,22,20,0.9068905956085185,u5
Grayscale,82,85,1.6438561897747248,u5
Plain,3,5,1.0874628412503393,u5
Plain,12,10,0.9068905956085185,u5
Grayscale,66,70,2.0443941193584534,u5
Grayscale,100,100,0.0,u5
Plain,29,33,2.0443941193584534,u5
Plain,3,5,1.0874628412503393,u5
Colored,4,5,0.16992500144231237,u5
Colored,90,97,2.8328900141647417,u5
Grayscale,77,85,3.0223678130284544,u5
Colored,70,75,2.357552004618084,u5
Colored,10,30,4.330916878114617,u5
Plain,28,33,2.357552004618084,u5
Grayscale,84,85,0.16992500144231237,u5
Colored,12,20,3.0223678130284544,u5
Colored,100,100,0.0,u5
Colored,36,40,2.0443941193584534,u5
Colored,0,0,0.0,u5
Grayscale,60,55,2.2854022188622483,u5
Colored,85,85,0.0,u5
Grayscale,83,85,1.0874628412503393,u5
Plain,35,35,0.0,u5
Grayscale,25,33,3.0223678130284544,u5
Grayscale,54,55,0.16992500144231237,u5
Colored,50,50,0.0,u5
Grayscale,78,75,1.5235619560570128,u5
Plain,24,25,0.16992500144231237,u5
Grayscale,22,25,1.6438561897747248,u5
Colored,68,75,2.8328900141647417,u5
Grayscale,27,35,3.0223678130284544,u5
Plain,10,10,0.0,u5
Colored,11,11,0.0,u6
Plain,33,35,1.0874628412503393,u6
Grayscale,46,45,-0.19264507794239588,u6
Colored,9,10,0.16992500144231237,u6
Grayscale,26,23,1.5235619560570128,u6
Plain,58,60,1.0874628412503393,u6
Plain,74,70,1.9541963103868751,u6
Grayscale,95,94,-0.19264507794239588,u6
Colored,38,43,2.357552004618084,u6
Grayscale,25,25,0.0,u6
Colored,44,48,2.0443941193584534,u6
Grayscale,51,50,-0.19264507794239588,u6
