type,true,predicted,logError,user
Plain,91,90,-0.19264507794239588,u12
Plain,94,99,2.357552004618084,u12
Colored,33,30,1.5235619560570128,u12
Grayscale,52,60,3.0223678130284544,u12
Colored,52,60,3.0223678130284544,u12
Colored,94,90,1.9541963103868751,u12
Grayscale,54,60,2.6147098441152083,u12
Colored,20,30,3.3398500028846247,u12
Plain,4,10,2.6147098441152083,u12
Plain,75,80,2.357552004618084,u12
Plain,33,40,2.8328900141647417,u12
Grayscale,31,30,-0.19264507794239588,u12
Plain,64,60,1.9541963103868751,u12
Grayscale,30,30,0.0,u12
Plain,61,60,-0.19264507794239588,u12
Grayscale,80,80,0.0,u12
Plain,58,60,1.0874628412503393,u12
Plain,46,60,3.820178962415188,u12
Plain,99,95,1.9541963103868751,u12
Plain,15,20,2.357552004618084,u12
Grayscale,32,30,0.9068905956085185,u13
Colored,9,10,0.16992500144231237,u13
Plain,38,40,1.0874628412503393,u13
Colored,98,48,5.640244936222346,u13
Grayscale,84,43,5.353146825498083,u13
Grayscale,55,60,2.357552004618084,u13
Colored,22,24,1.0874628412503393,u13
Grayscale,90,93,1.6438561897747248,u13
Plain,95,95,0.0,u13
Grayscale,35,35,0.0,u13
Grayscale,36,35,-0.19264507794239588,u13
Plain,11,10,-0.19264507794239588,u13
Plain,71,65,2.554588851677637,u13
Colored,98,95,1.5235619560570128,u13
Grayscale,32,35,1.6438561897747248,u13
Colored,87,85,0.9068905956085185,u13
Colored,33,27,2.554588851677637,u13
Colored,21,20,-0.19264507794239588,u13
Grayscale,49,50,0.16992500144231237,u13
Grayscale,24,28,2.0443941193584534,u13
Grayscale,22,22,0.0,u13
Grayscale,6,15,3.189824558880017,u13
Colored,34,33,-0.19264507794239588,u13
Grayscale,30,33,1.6438561897747248,u13
Grayscale,56,60,2.0443941193584534,u13
Colored,38,40,1.0874628412503393,u13
Plain,38,45,2.8328900141647417,u13
Plain,49,50,0.16992500144231237,u13
Grayscale,36,40,2.0443941193584534,u13
Plain,42,48,2.6147098441152083,u13
Colored,22,20,0.9068905956085185,u13
Plain,88,90,1.0874628412503393,u13
Grayscale,0,0,0.0,u13
Colored,32,22,3.303780748177103,u13
Colored,83,90,2.8328900141647417,u13
Grayscale,48,50,1.0874628412503393,u13
Grayscale,28,30,1.0874628412503393,u13
Colored,29,27,0.9068905956085185,u13
Plain,9,10,0.16992500144231237,u13
Plain,92,90,0.9068905956085185,u13
Colored,26,30,2.0443941193584534,u13
Grayscale,50,50,0.0,u13
Plain,76,80,2.0443941193584534,u13
Colored,47,50,1.6438561897747248,u13
Grayscale,30,30,0.0,u13
Plain,33,30,1.5235619560570128,u13
Colored,70,70,0.0,u13
Grayscale,33,70,5.2143191208007655,u13
Colored,55,30,4.636624620543649,u13
Plain,16,18,1.0874628412503393,u13
Plain,4,5,0.16992500144231237,u13
Colored,57,60,1.6438561897747248,u13
Plain,24,20,1.9541963103868751,u13
Plain,46,50,2.0443941193584534,u13
Colored,34,40,2.6147098441152083,u13
Colored,63,65,1.0874628412503393,u13
Plain,77,80,1.6438561897747248,u13
Plain,97,100,1.6438561897747248,u13
Plain,54,60,2.6147098441152083,u13
Plain,82,0,6.355351096424813,u13
