vis,truePercent,reportedPercent,error
Stacked Bar Chart,38.0952381,33,2.38411561
Pie Chart,35.59322034,20,3.974365976
Tree Map,21.62162162,10,3.554173986
Stacked Bar Chart,29.21348315,30,-0.133658763
Pie Chart,29.62962963,7,4.508088199
Pie Chart,80.64516129,90,3.244862513
Stacked Bar Chart,90.625,80,3.426264755
Pie Chart,94.54545455,100,2.480147596
Pie Chart,15,10,2.357552005
Tree Map,80.55555556,60,4.370203037
Tree Map,89.33333333,77,3.639039173
Tree Map,95.89041096,100,2.082221966
Stacked Bar Chart,92.59259259,100,2.913111034
Pie Chart,61.53846154,90,4.83726403
Stacked Bar Chart,83.33333333,80,1.790076931
Pie Chart,35.71428571,5,4.946697445
Pie Chart,43.82022472,80,5.182087418
Pie Chart,60,60,-3
Tree Map,94.59459459,95,-0.914832617
Stacked Bar Chart,14.47368421,20,2.498586808
Stacked Bar Chart,84.61538462,90,2.461951611
Tree Map,23.33333333,20,1.790076931
Stacked Bar Chart,76.31578947,60,4.039207673
Pie Chart,26.2295082,15,3.505193314
Stacked Bar Chart,87.95180723,80,3.013785107
Pie Chart,40.42553191,40,-0.861101894
Pie Chart,55.55555556,65,3.258435171
Tree Map,57,65,3.022367813
Pie Chart,37.31343284,30,2.8949987
Stacked Bar Chart,86.84210526,85,0.976074161
Stacked Bar Chart,75.32467532,55,4.354006033
Tree Map,41.17647059,35,2.655688553
Pie Chart,100,95,2.357552005
Tree Map,17.58241758,15,1.436917421
Pie Chart,96.05263158,100,2.025868086
Tree Map,31.81818182,40,3.054295977
Tree Map,45.90163934,45,0.037929456
Stacked Bar Chart,58.18181818,70,3.578115335
Tree Map,50,15,5.13442632
Pie Chart,27.27272727,15,3.632003768
Pie Chart,50,50,0
Tree Map,94.52054795,100,2.486573328
Pie Chart,31.39534884,33,0.790481103
Pie Chart,73.68421053,66,2.965176706
Stacked Bar Chart,94.66666667,100,2.448460501
Tree Map,90.47619048,100,3.270350953
Stacked Bar Chart,24.74226804,20,2.283112226
Stacked Bar Chart,21.11111111,12,3.207285529
Pie Chart,45.23809524,2,5.438395834
Pie Chart,17.24137931,3,3.844624607
Tree Map,52.38095238,1,5.686667265
Stacked Bar Chart,55.31914894,1,5.766705107
Stacked Bar Chart,12.76595745,1,3.571792979
Pie Chart,44.57831325,1,5.449670753
Stacked Bar Chart,56.96202532,1,5.809595164
Pie Chart,56.57894737,1,5.79970766
Tree Map,50.54945055,1,5.634432105
Stacked Bar Chart,73.68421053,1,6.186049061
Stacked Bar Chart,93.75,1,6.537218401
Stacked Bar Chart,87.05882353,1,6.4293452
Tree Map,66.17647059,1,6.029043576
Pie Chart,80.72289157,1,6.319182408
Stacked Bar Chart,87.36842105,1,6.434518496
Pie Chart,88.37209302,1,6.451163181
Tree Map,80,1,6.306061689
Pie Chart,68.29268293,1,6.075055139
Pie Chart,26.19047619,1,4.661947717
Pie Chart,44.44444444,1,5.445244812
Pie Chart,36.50793651,1,5.155139476
Stacked Bar Chart,56.12244898,1,5.787835945
Tree Map,96.25,1,6.575539247
Tree Map,96.72131148,1,6.582651008
Tree Map,83.58208955,1,6.369939096
Stacked Bar Chart,25.92592593,1,4.646792024
Tree Map,27.16049383,1,4.716194934
Stacked Bar Chart,72.05882353,1,6.153477522
Tree Map,35.22727273,1,5.102333645
Tree Map,11.23595506,1,3.373085089
Tree Map,30,30,0
Pie Chart,96,100,2.044394119
Pie Chart,38.37209302,30,3.086969359
Stacked Bar Chart,31,25,2.614709844
Tree Map,79.72972973,100,4.35016272
Stacked Bar Chart,25,20,2.357552005
Tree Map,28.30188679,15,3.74705293
Stacked Bar Chart,89.47368421,100,3.412959757
Stacked Bar Chart,82.60869565,100,4.130626517
Tree Map,60.52631579,75,3.867766439
Tree Map,77.64705882,70,2.95829682
Pie Chart,13.92405063,10,2.017583684
Stacked Bar Chart,44.44444444,30,3.864873961
Tree Map,34.88372093,40,2.389918927
Tree Map,48.38709677,50,0.797347749
Stacked Bar Chart,94.23076923,100,2.559303546
Stacked Bar Chart,18.82352941,10,3.161650611
Tree Map,75,100,4.651051691
Pie Chart,42.85714286,30,3.698456632
Pie Chart,40.90909091,30,3.463895867
Tree Map,50,50,0
Tree Map,23.33333333,25,0.841302254
Stacked Bar Chart,25,20,2.357552005
Pie Chart,89.79591837,100,3.368640084
Pie Chart,97.10144928,100,1.596243783
Stacked Bar Chart,84.84848485,100,3.933243571
Stacked Bar Chart,62.66666667,75,3.639039173
Pie Chart,48.42105263,20,4.835219357
Pie Chart,90.32258065,100,3.293137868
Pie Chart,21.66666667,10,3.559695742
Tree Map,51.51515152,40,3.541037932
Pie Chart,68.04123711,60,3.029671458
Pie Chart,40,50,3.339850003
Pie Chart,92.85714286,100,2.861530062
Stacked Bar Chart,31.91489362,30,1.028493916
Pie Chart,77.96610169,90,3.60394061
Pie Chart,86.11111111,90,2.005000681
Tree Map,61.61616162,60,0.800050121
Pie Chart,34.375,30,2.169925001
Pie Chart,60,50,3.339850003
Pie Chart,96.875,100,1.700439718
Stacked Bar Chart,67.34693878,75,2.959410591
Pie Chart,57.89473684,50,3.003554897
Stacked Bar Chart,62.3655914,50,3.642769881
Stacked Bar Chart,85.24590164,100,3.8952152
Stacked Bar Chart,26.58227848,30,1.824858065
Tree Map,66.12903226,80,3.806939339
Tree Map,27.08333333,30,1.604862058
Tree Map,20,20,0
Pie Chart,65.26315789,75,3.301857155
Tree Map,65.78947368,75,3.222731361
Tree Map,89.47368421,100,3.412959757
Tree Map,0,80,6.324180547
Tree Map,71,70,0.169925001
Stacked Bar Chart,82.02247191,85,1.633444272
Stacked Bar Chart,37.89473684,35,1.59442283
Tree Map,29.6875,35,2.442943496
Stacked Bar Chart,40,50,3.339850003
Stacked Bar Chart,53,50,1.64385619
Stacked Bar Chart,64.63414634,50,3.883537374
Pie Chart,54.02298851,66,3.597174955
Pie Chart,68.75,120,5.682994584
Stacked Bar Chart,54.54545455,125,6.141178234
Stacked Bar Chart,46.26865672,850,9.650793891
Pie Chart,91.11111111,105,3.808785458
Tree Map,45.45454545,225,7.489209378
Tree Map,50,300,7.966505452
Pie Chart,40.90909091,200,7.314840689
Stacked Bar Chart,80,600,9.022714573
Pie Chart,76,80,2.044394119
Pie Chart,21.42857143,500,8.902967232
Stacked Bar Chart,46.57534247,570,9.03218257
Stacked Bar Chart,52.94117647,230,7.469103085
Tree Map,50.51546392,133,6.368236425
Pie Chart,78.57142857,80,0.635588574
Pie Chart,97.33333333,110,3.677132345
Pie Chart,25,400,8.551227604
Pie Chart,31.81818182,250,7.770213379
Stacked Bar Chart,46.66666667,33,3.785724906
Tree Map,55.84415584,50,2.577526921
Tree Map,54.76190476,50,2.288920989
