Result,Trial,ChartType,CorrectAnswer,SubjectAnswer
4,58,RadarChart,18,15
4,59,TreeMap,94,100
5,0,BarChart,71,60
5,1,RadarChart,77,70
5,2,TreeMap,82,60
5,3,BarChart,22,20
5,4,RadarChart,64,50
5,5,TreeMap,60,55
5,6,BarChart,38,40
5,7,RadarChart,87,80
5,8,TreeMap,72,60
5,9,BarChart,100,100
5,10,RadarChart,92,95
5,11,TreeMap,54,50
5,12,BarChart,23,23
5,13,RadarChart,57,50
5,14,TreeMap,100,70
5,15,BarChart,83,80
5,16,RadarChart,53,50
5,17,TreeMap,98,90
5,18,BarChart,68,70
5,19,RadarChart,26,20
5,20,TreeMap,72,75
5,21,BarChart,70,70
5,22,RadarChart,50,55
5,23,TreeMap,94,100
5,24,BarChart,78,80
5,25,RadarChart,57,50
5,26,TreeMap,12,15
5,27,BarChart,74,75
5,28,RadarChart,94,90
5,29,TreeMap,58,80
5,30,BarChart,58,60
5,31,RadarChart,21,15
5,32,TreeMap,40,20
5,33,BarChart,11,10
5,34,RadarChart,65,60
5,35,TreeMap,93,75
5,36,BarChart,77,80
5,37,RadarChart,91,100
5,38,TreeMap,80,80
5,39,BarChart,86,90
5,40,RadarChart,22,20
5,41,TreeMap,87,90
5,42,BarChart,46,45
5,43,RadarChart,61,60
5,44,TreeMap,94,90
5,45,BarChart,70,80
5,46,RadarChart,85,90
5,47,TreeMap,85,90
5,48,BarChart,35,30
5,49,RadarChart,88,95
5,50,TreeMap,80,90
5,51,BarChart,65,60
5,52,RadarChart,34,30
5,53,TreeMap,20,20
5,54,BarChart,50,50
5,55,RadarChart,80,100
5,56,TreeMap,12,10
5,57,BarChart,16,15
5,58,RadarChart,40,45
5,59,TreeMap,33,25
6,0,BarChart,67,70
6,1,RadarChart,83,90
6,2,TreeMap,27,20
6,3,BarChart,33,33.33333333
6,4,RadarChart,96,97
6,5,TreeMap,66,58
6,6,BarChart,71,80
6,7,RadarChart,43,40
6,8,TreeMap,98,100
6,9,BarChart,76,84
6,10,RadarChart,60,66.66666667
6,11,TreeMap,53,75
6,12,BarChart,22,15
6,13,RadarChart,64,85
6,14,TreeMap,82,95
6,15,BarChart,87,90
6,16,RadarChart,58,75
6,17,TreeMap,21,10
6,18,BarChart,58,66.6666666
6,19,RadarChart,43,50
6,20,TreeMap,73,47
6,21,BarChart,27,19
6,22,RadarChart,70,70
6,23,TreeMap,26,30
6,24,BarChart,81,87
6,25,RadarChart,60,50
6,26,TreeMap,19,18
6,27,BarChart,80,86
6,28,RadarChart,93,98
6,29,TreeMap,70,60
6,30,BarChart,35,30
6,31,RadarChart,97,96
6,32,TreeMap,62,66.66666667
6,33,BarChart,67,70
6,34,RadarChart,11,8
6,35,TreeMap,32,20
6,36,BarChart,95,96
6,37,RadarChart,84,85
6,38,TreeMap,62,80
6,39,BarChart,49,45
6,40,RadarChart,59,66.66666667
6,41,TreeMap,97,80
6,42,BarChart,40,40
6,43,RadarChart,42,30
6,44,TreeMap,79,60
6,45,BarChart,76,80
6,46,RadarChart,30,28
6,47,TreeMap,73,90
6,48,BarChart,63,70
6,49,RadarChart,98,95
6,50,TreeMap,24,15
6,51,BarChart,32,30
6,52,RadarChart,61,60
6,53,TreeMap,90,70
6,54,BarChart,38,40
6,55,RadarChart,84,90
6,56,TreeMap,79,90
6,57,BarChart,83,85
6,58,RadarChart,23,20
6,59,TreeMap,22,20
7,0,BarChart,26,25
7,1,RadarChart,88,100
7,2,TreeMap,92,95
7,3,BarChart,69,75
7,4,RadarChart,100,97
7,5,TreeMap,68,50
7,6,BarChart,52,55
7,7,RadarChart,16,18
7,8,TreeMap,38,30
7,9,BarChart,37,40
7,10,RadarChart,73,60
7,11,TreeMap,37,35
7,12,BarChart,66,60
7,13,RadarChart,75,60
7,14,TreeMap,38,25
7,15,BarChart,35,40
7,16,RadarChart,53,55
7,17,TreeMap,46,45
7,18,BarChart,21,20
7,19,RadarChart,82,80
7,20,TreeMap,43,35
7,21,BarChart,95,97
7,22,RadarChart,72,50
7,23,TreeMap,65,60
7,24,BarChart,40,40
7,25,RadarChart,42,33
7,26,TreeMap,67,50
7,27,BarChart,54,50
7,28,RadarChart,60,50
7,29,TreeMap,52,40
7,30,BarChart,98,97
7,31,RadarChart,96,100
7,32,TreeMap,22,15
7,33,BarChart,66,60
7,34,RadarChart,40,30
7,35,TreeMap,77,80
7,36,BarChart,20,20
7,37,RadarChart,84,90
7,38,TreeMap,70,50
7,39,BarChart,35,30
7,40,RadarChart,28,25
7,41,TreeMap,26,25
7,42,BarChart,55,50
7,43,RadarChart,58,50
7,44,TreeMap,60,60
7,45,BarChart,38,30
7,46,RadarChart,44,40
7,47,TreeMap,48,35
7,48,BarChart,100,100
7,49,RadarChart,29,25
7,50,TreeMap,42,35
7,51,BarChart,14,15
7,52,RadarChart,16,15
7,53,TreeMap,61,50
7,54,BarChart,29,30
7,55,RadarChart,77,90
7,56,TreeMap,67,50
7,57,BarChart,31,45
7,58,RadarChart,86,80
7,59,TreeMap,59,50
8,0,BarChart,82,78
8,1,RadarChart,67,60
8,2,TreeMap,63,66
8,3,BarChart,40,40
8,4,RadarChart,41,33
8,5,TreeMap,80,80
8,6,BarChart,83,80
8,7,RadarChart,15,15
8,8,TreeMap,25,50
8,9,BarChart,76,70
8,10,RadarChart,78,85
8,11,TreeMap,46,50
8,12,BarChart,44,37
8,13,RadarChart,95,100
8,14,TreeMap,73,64
8,15,BarChart,27,36
8,16,RadarChart,80,80
8,17,TreeMap,57,75
8,18,BarChart,66,65
8,19,RadarChart,38,64
8,20,TreeMap,70,76
8,21,BarChart,14,16
8,22,RadarChart,34,40
8,23,TreeMap,66,58
8,24,BarChart,75,67
8,25,RadarChart,57,50
8,26,TreeMap,94,75
8,27,BarChart,72,75
8,28,RadarChart,61,67
8,29,TreeMap,94,80
8,30,BarChart,55,50
8,31,RadarChart,98,95
8,32,TreeMap,52,61
8,33,BarChart,83,80
8,34,RadarChart,98,100
8,35,TreeMap,22,25
8,36,BarChart,17,20
8,37,RadarChart,80,75
8,38,TreeMap,17,19
8,39,BarChart,18,18
8,40,RadarChart,81,78
8,41,TreeMap,49,37
8,42,BarChart,61,64
8,43,RadarChart,24,24
